timestamp	date	open	high	low	close_usd	close_eur	close_gbp	close_chf	close_sekke
1624995000	1400-04-09	29820	30280	29760	30170	30170	35450	27800	10920000
1625081400	1400-04-10	30100	30100	29770	29890	29890	35170	27510	10825000
1625167800	1400-04-11	29890	29950	29770	29870	29870	35120	27490	10805000
1625254200	1400-04-12	29800	30160	29770	30160	30160	35430	27810	10820000
1625340600	1400-04-13	30160	30160	29720	29770	29770	34980	27450	10775000
1625427000	1400-04-14	29690	29810	29510	29730	29730	34930	27420	10680000
1625513400	1400-04-15	29730	29880	29700	29760	29760	35080	27470	10750000
1625599800	1400-04-16	29630	29800	29450	29740	29740	35100	27480	10715000
1625686200	1400-04-17	29610	29650	29520	29570	29570	34910	27350	10750000
1625772600	1400-04-18	29630	29650	29570	29630	29630	34810	27560	10680000
1625859000	1400-04-19	29620	29660	29440	29560	29560	34810	27510	10695000
1625945400	1400-04-20	29600	29700	29440	29660	29660	34920	27600	10725000
1626031800	1400-04-21	29660	29660	29540	29610	29610	34870	27570	10705000
1626118200	1400-04-22	29510	29580	29290	29480	29480	34820	27430	10645000
1626204600	1400-04-23	29000	29160	28910	29160	29160	34470	27160	10525000
1626291000	1400-04-24	29280	29370	29150	29220	29220	34620	27250	10635000
1626377400	1400-04-25	29250	29280	29140	29270	29270	34650	27290	10600000
1626463800	1400-04-26	29330	29360	29150	29190	29190	34510	27190	10560000
1626550200	1400-04-27	29270	29270	29000	29040	29040	34320	27040	10535000
1626636600	1400-04-28	28950	29010	28830	28950	28950	34220	26960	10555000
1626723000	1400-04-29	28950	29060	28860	29060	29060	34200	27060	10620000
1626895800	1400-04-31	29060	29060	29060	29060	29060	34200	27060	10620000
1626982200	1400-05-01	29060	29060	29060	29060	29060	34200	27060	10650000
1627068600	1400-05-02	29060	29170	29000	29170	29170	34420	27190	10650000
1627155000	1400-05-03	29290	29400	29190	29230	29230	34490	27240	10570000
1627241400	1400-05-04	29260	29610	29170	29580	29580	34900	27570	10680000
1627327800	1400-05-05	29580	29800	29580	29730	29730	35120	27740	10945000
1627414200	1400-05-06	29860	30510	29860	30510	30510	36100	28510	10935000
1627500600	1400-05-07	30510	30950	30510	30770	30770	36510	28780	11170000
1627587000	1400-05-08	30780	30850	30670	30770	30770	36520	28830	11295000
