timestamp	date	open	high	low	close
1648236600	1401-01-06	26400	26400	26220	26240
1648323000	1401-01-07	26250	26440	26220	26420
1648409400	1401-01-08	26500	26740	26450	26600
1648495800	1401-01-09	26750	27160	26750	27130
1648582200	1401-01-10	27200	27200	26890	26900
1648668600	1401-01-11	26950	27080	26930	27050
1648755000	1401-01-12	27050	27050	27050	27050
1648841400	1401-01-13	27100	27100	27060	27060
1648927800	1401-01-14	27050	27080	26820	26920
1649014200	1401-01-15	27000	27250	27000	27250
1649100600	1401-01-16	27250	27720	27220	27720
1649187000	1401-01-17	27450	27580	27320	27530
1649273400	1401-01-18	27670	27740	27570	27680
1649359800	1401-01-19	27800	27800	27620	27640
1649446200	1401-01-20	27750	27820	27670	27750
1649532600	1401-01-21	27750	28020	27660	27980
1649619000	1401-01-22	28000	28170	27970	28080
1649705400	1401-01-23	28250	28270	28110	28110
1649791800	1401-01-24	28050	28050	27780	27780
1649878200	1401-01-25	27800	27820	27470	27480
1649964600	1401-01-26	27550	27600	27520	27550
1650051000	1401-01-27	27600	27960	27530	27900
1650137400	1401-01-28	28100	28130	27840	27840
1650223800	1401-01-29	27900	27970	27600	27650
1650310200	1401-01-30	27800	27800	27550	27570
1650396600	1401-01-31	27600	27820	27540	27750
1650483000	1401-02-01	27850	27920	27780	27860
1650569400	1401-02-02	27850	27850	27790	27800
1650655800	1401-02-03	27800	27860	27750	27860
1650742200	1401-02-04	27900	27920	27790	27790
1650828600	1401-02-05	27850	27880	27710	27850
1650915000	1401-02-06	27880	28050	27860	27940
1651001400	1401-02-07	27950	28200	27950	28090
1651087800	1401-02-08	28000	28180	27950	28120
1651174200	1401-02-09	28080	28100	28080	28080
1651260600	1401-02-10	28100	28220	28080	28100
1651692600	1401-02-15	28350	28350	28350	28350
1651865400	1401-02-17	28740	28740	28330	28400
1651951800	1401-02-18	28380	28460	28350	28420
1652038200	1401-02-19	28580	28700	28500	28690
1652124600	1401-02-20	28750	29420	28750	29420
1652211000	1401-02-21	29600	30020	29600	29870
1652297400	1401-02-22	30250	30880	30250	30820
1652383800	1401-02-23	30380	30470	30380	30470
1652470200	1401-02-24	30540	30540	30040	30220
1652556600	1401-02-25	30120	30650	30050	30640
1652643000	1401-02-26	30500	30660	30360	30570
1652729400	1401-02-27	30550	30580	30160	30200
1652815800	1401-02-28	30150	30150	29940	30000
1652902200	1401-02-29	30000	30200	29950	30180
1652988600	1401-02-30	30200	30250	30140	30150
1653075000	1401-02-31	30300	30510	30300	30350
1653161400	1401-03-01	30500	30550	30270	30320
1653247800	1401-03-02	30220	30350	30130	30350
1653334200	1401-03-03	30400	30420	30150	30150
1653420600	1401-03-04	30200	30280	30120	30160
1653507000	1401-03-05	30480	30480	30440	30450
1653593400	1401-03-06	30450	30810	30450	30810
1653679800	1401-03-07	30800	30810	30530	30550
1653766200	1401-03-08	30580	30830	30580	30830
1653852600	1401-03-09	30850	31100	30780	31100
1653939000	1401-03-10	31150	31280	31100	31140
1654025400	1401-03-11	31300	31870	31300	31850
1654111800	1401-03-12	31850	31850	31580	31620
1654198200	1401-03-13	31650	31700	31620	31700
1654284600	1401-03-14	31650	31690	31650	31670
1654371000	1401-03-15	31700	31720	31670	31700
1654457400	1401-03-16	31600	31600	31380	31580
1654543800	1401-03-17	31580	31990	31420	31950
1654630200	1401-03-18	31950	32100	31780	31780
1654716600	1401-03-19	32250	32270	32220	32220
1654803000	1401-03-20	32200	32240	32170	32230
1654889400	1401-03-21	32350	32880	32350	32850
1654975800	1401-03-22	32800	33230	32780	33130
1655062200	1401-03-23	33150	33150	32880	32880
1655148600	1401-03-24	32650	32670	32030	32050
1655235000	1401-03-25	32150	32160	31750	31780
1655321400	1401-03-26	31830	32230	31590	32200
1655407800	1401-03-27	32200	32200	32020	32070
1655494200	1401-03-28	32150	32350	32070	32100
1655580600	1401-03-29	32050	32050	31750	31770
1655667000	1401-03-30	31800	31800	31750	31750
1655753400	1401-03-31	31850	31850	31850	31850
1655839800	1401-04-01	32080	32080	32000	32000
1655926200	1401-04-02	31900	31900	31830	31880
1656012600	1401-04-03	31880	31880	31880	31880
1656099000	1401-04-04	31800	31800	31740	31780
1656185400	1401-04-05	31820	31820	31180	31180
1656271800	1401-04-06	31050	31050	30220	30270
1656358200	1401-04-07	30350	30780	30350	30720
1656444600	1401-04-08	30850	31250	30770	31250
1656531000	1401-04-09	31570	32100	31540	32070
